EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4390.77,4521.54,3803.08,4674.36,4355.38,4071.79,4356.41,4191.28,4888.21,4432.31,4475.38,4738.46,4397.44,4602.05
4385.64,4517.44,3795.38,4666.15,4355.38,4073.85,4364.10,4179.49,4887.18,4438.46,4469.23,4729.23,4385.64,4598.46
4382.56,4512.82,3791.79,4655.90,4363.59,4085.64,4376.92,4192.31,4889.74,4450.26,4472.31,4727.18,4385.64,4597.95
4375.38,4505.64,3792.31,4648.72,4365.13,4090.77,4391.28,4204.10,4890.26,4441.03,4473.85,4723.08,4388.72,4589.23
4369.74,4504.10,3794.87,4646.67,4361.54,4087.18,4394.36,4203.59,4890.26,4447.69,4470.77,4718.46,4385.13,4584.10
4382.05,4511.28,3805.64,4659.49,4364.10,4089.74,4390.77,4220.00,4905.13,4471.28,4481.03,4732.82,4394.36,4601.03
4394.87,4520.00,3817.95,4669.74,4371.79,4095.38,4389.74,4236.92,4919.49,4465.64,4495.90,4752.31,4411.28,4615.90
4392.82,4522.05,3825.13,4667.18,4367.18,4092.31,4386.67,4228.72,4913.33,4451.79,4493.85,4750.77,4412.31,4608.72
4393.33,4523.59,3829.74,4670.26,4361.03,4087.69,4381.03,4213.85,4905.13,4472.82,4487.18,4741.03,4408.72,4607.18
4400.00,4527.69,3834.87,4676.92,4372.82,4085.13,4376.41,4209.74,4903.59,4477.95,4486.15,4740.00,4411.28,4617.95
4398.97,4524.62,3840.51,4673.33,4382.56,4079.49,4368.72,4200.00,4891.28,4443.08,4481.03,4738.97,4404.62,4610.26
4397.44,4522.56,3845.64,4668.72,4369.23,4073.85,4362.56,4184.62,4873.33,4431.28,4477.44,4733.33,4394.36,4597.44
4395.90,4522.56,3847.18,4671.79,4354.36,4072.31,4367.18,4175.38,4867.18,4446.67,4473.85,4732.31,4392.82,4599.49
4387.69,4512.82,3841.03,4667.69,4354.87,4077.44,4376.41,4170.26,4864.10,4433.33,4466.67,4731.79,4386.15,4597.95
4377.44,4501.03,3830.77,4656.41,4358.46,4086.15,4387.69,4166.15,4858.97,4418.46,4457.44,4723.59,4372.31,4583.59
4373.33,4501.54,3827.69,4651.79,4361.03,4089.74,4393.85,4168.21,4865.13,4436.92,4455.38,4712.82,4372.31,4576.92
4383.08,4513.85,3837.95,4658.97,4365.64,4091.28,4391.79,4181.03,4884.62,4446.67,4467.69,4715.38,4390.26,4587.18
4395.90,4525.13,3848.21,4668.21,4367.69,4094.87,4389.74,4198.97,4899.49,4438.97,4480.00,4728.72,4405.13,4600.51
4396.41,4527.18,3853.85,4666.15,4367.69,4094.36,4387.69,4212.82,4907.18,4452.31,4477.95,4736.92,4402.05,4602.56
4392.82,4521.54,3860.00,4662.05,4365.64,4089.74,4379.49,4221.03,4917.44,4474.36,4478.97,4736.41,4400.00,4600.00
4397.95,4523.59,3862.56,4666.15,4367.18,4088.21,4372.31,4224.10,4921.03,4472.31,4493.85,4736.41,4412.31,4606.67
